completion_rate,dtp2_rate,cost_total,cost_per_child,rate_poorest,rate_richest,equity_gap
1.0,1.0,4460500,446.05,1.0,1.0,0.0
1.0,1.0,4446100,444.61,1.0,1.0,0.0
1.0,1.0,4436650,443.665,1.0,1.0,0.0
1.0,1.0,4438900,443.89,1.0,1.0,0.0
1.0,1.0,4546450,454.645,1.0,1.0,0.0
1.0,1.0,4437100,443.71,1.0,1.0,0.0
1.0,1.0,4442050,444.205,1.0,1.0,0.0
1.0,1.0,4472200,447.22,1.0,1.0,0.0
1.0,1.0,4477600,447.76,1.0,1.0,0.0
1.0,1.0,4478500,447.85,1.0,1.0,0.0
1.0,1.0,4421350,442.135,1.0,1.0,0.0
1.0,1.0,4405150,440.515,1.0,1.0,0.0
1.0,1.0,4469950,446.995,1.0,1.0,0.0
1.0,1.0,4415500,441.55,1.0,1.0,0.0
1.0,1.0,4534750,453.475,1.0,1.0,0.0
1.0,1.0,4455550,445.555,1.0,1.0,0.0
1.0,1.0,4475350,447.535,1.0,1.0,0.0
1.0,1.0,4429000,442.9,1.0,1.0,0.0
1.0,1.0,4474000,447.4,1.0,1.0,0.0
1.0,1.0,4418200,441.82,1.0,1.0,0.0
1.0,1.0,4450150,445.015,1.0,1.0,0.0
1.0,1.0,4429900,442.99,1.0,1.0,0.0
1.0,1.0,4397500,439.75,1.0,1.0,0.0
1.0,1.0,4452400,445.24,1.0,1.0,0.0
1.0,1.0,4454200,445.42,1.0,1.0,0.0
1.0,1.0,4514500,451.45,1.0,1.0,0.0
1.0,1.0,4417750,441.775,1.0,1.0,0.0
1.0,1.0,4450600,445.06,1.0,1.0,0.0
1.0,1.0,4413250,441.325,1.0,1.0,0.0
1.0,1.0,4400200,440.02,1.0,1.0,0.0
1.0,1.0,4426750,442.675,1.0,1.0,0.0
1.0,1.0,4470850,447.085,1.0,1.0,0.0
1.0,1.0,4423150,442.315,1.0,1.0,0.0
1.0,1.0,4457800,445.78,1.0,1.0,0.0
1.0,1.0,4424950,442.495,1.0,1.0,0.0
1.0,1.0,4466800,446.68,1.0,1.0,0.0
1.0,1.0,4552300,455.23,1.0,1.0,0.0
1.0,1.0,4484800,448.48,1.0,1.0,0.0
1.0,1.0,4450600,445.06,1.0,1.0,0.0
1.0,1.0,4510450,451.045,1.0,1.0,0.0
1.0,1.0,4521700,452.17,1.0,1.0,0.0
1.0,1.0,4491100,449.11,1.0,1.0,0.0
1.0,1.0,4540600,454.06,1.0,1.0,0.0
1.0,1.0,4372300,437.23,1.0,1.0,0.0
1.0,1.0,4397050,439.705,1.0,1.0,0.0
1.0,1.0,4458700,445.87,1.0,1.0,0.0
1.0,1.0,4412800,441.28,1.0,1.0,0.0
1.0,1.0,4427650,442.765,1.0,1.0,0.0
1.0,1.0,4495600,449.56,1.0,1.0,0.0
1.0,1.0,4499200,449.92,1.0,1.0,0.0
1.0,1.0,4478500,447.85,1.0,1.0,0.0
1.0,1.0,4517200,451.72,1.0,1.0,0.0
1.0,1.0,4480750,448.075,1.0,1.0,0.0
1.0,1.0,4496950,449.695,1.0,1.0,0.0
1.0,1.0,4458700,445.87,1.0,1.0,0.0
1.0,1.0,4449700,444.97,1.0,1.0,0.0
1.0,1.0,4451500,445.15,1.0,1.0,0.0
1.0,1.0,4465900,446.59,1.0,1.0,0.0
1.0,1.0,4471750,447.175,1.0,1.0,0.0
1.0,1.0,4490650,449.065,1.0,1.0,0.0
1.0,1.0,4441600,444.16,1.0,1.0,0.0
1.0,1.0,4461850,446.185,1.0,1.0,0.0
1.0,1.0,4476250,447.625,1.0,1.0,0.0
1.0,1.0,4423150,442.315,1.0,1.0,0.0
1.0,1.0,4473100,447.31,1.0,1.0,0.0
1.0,1.0,4557700,455.77,1.0,1.0,0.0
1.0,1.0,4469050,446.905,1.0,1.0,0.0
1.0,1.0,4483450,448.345,1.0,1.0,0.0
1.0,1.0,4397500,439.75,1.0,1.0,0.0
1.0,1.0,4408300,440.83,1.0,1.0,0.0
1.0,1.0,4442500,444.25,1.0,1.0,0.0
1.0,1.0,4514950,451.495,1.0,1.0,0.0
1.0,1.0,4492900,449.29,1.0,1.0,0.0
1.0,1.0,4483000,448.3,1.0,1.0,0.0
1.0,1.0,4541950,454.195,1.0,1.0,0.0
1.0,1.0,4458250,445.825,1.0,1.0,0.0
1.0,1.0,4464100,446.41,1.0,1.0,0.0
1.0,1.0,4460500,446.05,1.0,1.0,0.0
