completion_rate,dtp2_rate,cost_total,cost_per_child,rate_poorest,rate_richest,equity_gap
0.9967,0.9975,8870000,887.0,1.0,0.9975237309120925,-0.0024762690879075455
0.9973,0.9979,8842650,884.265,0.9994148624926857,0.9983347210657785,-0.0010801414269072662
0.9977,0.9978,8923600,892.36,1.0,0.9991652754590985,-0.0008347245409014992
0.9975,0.9985,8795500,879.55,0.9975247524752475,0.9987239472564866,0.001199194781239088
0.997,0.9977,9001550,900.155,0.9981971153846154,0.9974358974358974,-0.0007612179487179738
0.997,0.9975,8854400,885.44,0.999407231772377,0.9945515507124896,-0.004855681059887429
0.9968,0.9973,8785350,878.535,0.9988038277511961,0.997919267582189,-0.0008845601690071758
0.997,0.9977,8904550,890.455,0.9987959060806743,0.99915611814346,0.00036021206278569196
0.9976,0.9978,8878200,887.82,1.0,0.99913307325531,-0.000866926744690022
0.9965,0.9973,8938000,893.8,0.9994068801897983,0.9957264957264957,-0.003680384463302544
0.9968,0.9972,8849350,884.935,1.0,0.998262380538662,-0.0017376194613379914
0.9969,0.9975,8859650,885.965,0.998109640831758,0.9974651457541192,-0.0006444950776388625
0.9962,0.9967,8829150,882.915,0.9994089834515366,0.9987179487179487,-0.0006910347335878919
0.9978,0.9982,8777300,877.73,1.0,0.9991492981709911,-0.0008507018290089263
0.9965,0.9968,8891800,889.18,1.0,0.9978714346530438,-0.002128565346956157
0.9971,0.9977,8793950,879.395,0.9987915407854985,0.997889404812157,-0.0009021359733414336
0.9962,0.9965,8809150,880.915,0.9987515605493134,0.9970760233918129,-0.0016755371575004618
0.9965,0.9967,8852350,885.235,0.9994128009395185,0.9975419909873003,-0.001870809952218111
0.9973,0.9978,8920900,892.09,0.9993928354584092,0.9966763606148733,-0.0027164748435358765
0.9972,0.9974,8839850,883.985,1.0,0.9987223168654173,-0.0012776831345826523
0.9976,0.9981,8931100,893.11,0.9981873111782478,0.9987525987525988,0.0005652875743510366
0.9972,0.9972,8807550,880.755,1.0,0.9983429991714996,-0.001657000828500399
0.9971,0.9975,8840450,884.045,0.99875,0.9974683544303797,-0.0012816455696202933
0.9973,0.9979,8837200,883.72,0.9987959060806743,0.9982927870251814,-0.0005031190554928289
0.9973,0.9977,8857100,885.71,0.9993734335839599,0.9979558462796402,-0.001417587304319734
0.9974,0.9977,8918950,891.895,0.9987562189054726,0.9982668977469671,-0.000489321158505529
0.997,0.9973,8969250,896.925,1.0,0.997411561691113,-0.0025884383088869978
0.9977,0.998,8849800,884.98,0.9981120201384519,0.9995669120831528,0.0014548919447009423
0.998,0.9982,8916150,891.615,1.0,0.9982578397212544,-0.0017421602787456303
0.9971,0.9975,8904900,890.49,0.9993865030674847,0.9982810485603781,-0.0011054545071065291
0.9971,0.9974,8782900,878.29,0.9987623762376238,0.997919267582189,-0.0008431086554347988
0.997,0.9972,8739700,873.97,0.9994114184814596,0.9982668977469671,-0.00114452073449256
0.9967,0.997,8903450,890.345,0.9981640146878825,0.9995847176079734,0.0014207029200908883
0.996,0.9965,8886250,888.625,1.0,0.9957609156422212,-0.004239084357778755
0.9977,0.9979,8862150,886.215,0.9993891264508247,0.997883149872989,-0.0015059765778356882
0.9967,0.9969,8808500,880.85,0.9993773349937733,0.9949431099873578,-0.004434225006415549
0.9967,0.9975,8910900,891.09,0.9987886129618413,0.9969931271477663,-0.0017954858140749597
0.9968,0.9976,8835800,883.58,0.9993917274939172,0.9965855740503627,-0.0028061534435545044
0.9963,0.9967,8971500,897.15,0.9981504315659679,0.9987244897959183,0.0005740582299503805
0.9967,0.9972,8930200,893.02,0.9987893462469734,0.9979278905926233,-0.0008614556543500296
0.9974,0.998,8806600,880.66,0.9993800371977681,0.9995719178082192,0.0001918806104510562
0.9976,0.9981,8964300,896.43,0.999375,0.9979218620116376,-0.0014531379883624407
0.9969,0.9974,8906100,890.61,0.9994103773584906,0.9982869379014989,-0.0011234394569916706
0.9964,0.9967,8925950,892.595,0.9976428992339422,0.9991438356164384,0.0015009363824961541
0.9966,0.9967,8899600,889.96,0.9993876301285977,0.9987536352305775,-0.0006339948980201848
0.9974,0.9974,9009950,900.995,1.0,0.9970238095238095,-0.0029761904761904656
0.9963,0.9968,8857350,885.735,0.9977155910908052,0.9983157894736842,0.000600198382878947
0.997,0.9976,8918950,891.895,0.9987856709168185,0.9983572895277207,-0.0004283813890977317
0.9975,0.9979,8795850,879.585,0.9987373737373737,0.9991518235793045,0.0004144498419308418
0.9973,0.9977,8797400,879.74,1.0,0.9987288135593221,-0.0012711864406779183
0.9975,0.9982,8878950,887.895,0.9987538940809969,0.997480050398992,-0.0012738436820048937
0.9974,0.9979,8843600,884.36,0.9968866749688667,0.998730964467005,0.0018442894981383073
0.9968,0.9977,8786600,878.66,0.9987959060806743,0.9974747474747475,-0.0013211586059267422
0.9968,0.997,8952600,895.26,1.0,0.9978595890410958,-0.0021404109589041598
0.997,0.9974,8955500,895.55,0.9993846153846154,0.9982869379014989,-0.0010976774831165104
0.997,0.9974,8964450,896.445,0.9993898718730934,0.9995775242923531,0.00018765241925977616
0.997,0.9974,8757550,875.755,0.9970113568439928,0.9991254919108001,0.0021141350668073544
0.9973,0.9977,8813150,881.315,1.0,0.9987536352305775,-0.0012463647694225255
0.9975,0.9979,8939200,893.92,0.9987944544906571,0.9995711835334476,0.0007767290427905804
0.9962,0.9973,8826200,882.62,0.9976539589442815,0.9970123772940674,-0.000641581650214107
0.9967,0.9973,8820250,882.025,1.0,0.9983186212694409,-0.0016813787305590688
0.997,0.9974,8864500,886.45,0.9976580796252927,0.9974182444061962,-0.00023983521909654026
0.9966,0.997,8856150,885.615,0.996962332928311,0.9987223168654173,0.001759983937106302
0.9976,0.9982,8945600,894.56,0.9981447124304267,0.9978696207925011,-0.0002750916379256063
0.9963,0.9977,8832550,883.255,0.9969154842689698,0.9973913043478261,0.00047582007885627053
0.9964,0.9975,8884800,888.48,0.9981894990947495,0.9974271012006861,-0.0007623978940634046
0.9962,0.9968,8799000,879.9,0.997539975399754,0.9971533143554291,-0.00038666104432494297
0.9957,0.9966,8858900,885.89,0.9982014388489209,0.9964317573595004,-0.0017696814894204715
0.9973,0.9978,8891300,889.13,0.9970743124634289,0.997867803837953,0.0007934913745241134
0.9974,0.9977,8925950,892.595,0.9976359338061466,0.9969498910675382,-0.0006860427386083945
0.9969,0.9973,8857750,885.775,0.9981916817359855,0.9982668977469671,7.521601098159358e-05
0.9967,0.9969,8888750,888.875,1.0,0.9973947025618758,-0.00260529743812421
