child_id,dose_step,optimal_action,q_a0,q_a1,q_a2,q_a3,q_a4,q_max,q_advantage,behaviour_action,weight
594_29_2,0,2,1.0054952509727402,1.5798465611101449,1.5846380988314004,1.167034088843321,1.5167663863167418,1.5846380988314004,0.004791537721255512,1,0.7036259770393372
594_29_2,1,4,0.9414043516706873,1.165605486576122,1.1678990051708704,1.167034088843321,1.185568951297096,1.185568951297096,0.019963464720973878,1,0.7036259770393372
594_30_2,0,4,1.4791016795021321,1.5736101405770841,1.5944469082738557,1.167034088843321,1.609462216535582,1.609462216535582,0.03585207595849793,1,0.7036259770393372
594_30_2,1,2,0.9573815113986339,1.1655084344470124,1.1702806065976592,1.167034088843321,1.0813760855619727,1.1702806065976592,0.004772172150646847,1,0.7036259770393372
595_4_2,0,2,0.8224274766538198,1.5835739316737094,1.6173971283146595,1.167034088843321,1.5789732619343768,1.6173971283146595,0.033823196640950126,1,1.493643045425415
595_4_2,1,2,0.713147572416916,1.165625442509339,1.167416334174802,1.167034088843321,1.1403447045816533,1.167416334174802,0.0017908916654629792,1,1.493643045425415
595_77_3,0,2,1.4372276937697024,1.611767045038016,1.612303719910945,1.167034088843321,1.550230051609229,1.612303719910945,0.0005366748729289661,1,1.493643045425415
595_77_3,1,0,1.2241660490655288,1.1662669625197253,1.1634567245426133,1.167034088843321,1.150979831773121,1.2241660490655288,0.05789908654580356,1,1.493643045425415
596_3_2,0,2,0.13761979031820112,1.5713563768148409,1.6124796862576776,1.167034088843321,1.2927809435573272,1.6124796862576776,0.04112330944283671,1,0.5194740295410156
596_3_2,1,2,0.1645113565283518,1.1643556076415975,1.1678797967382832,1.167034088843321,0.19510177019373434,1.1678797967382832,1.0033684402099314,0,0.5194740295410156
596_31_2,0,1,0.14744692418115404,1.6118829770477106,1.5982709245644335,1.167034088843321,0.6343800737553384,1.6118829770477106,1.4644360528665565,0,0.5194740295410156
597_6_1,0,0,1.7041186544074016,1.6285276516044915,1.6006685036022017,1.167034088843321,1.6070510658405393,1.7041186544074016,0.07559100280291009,1,0.6941559910774231
597_6_1,1,0,1.3424869771754917,1.1704909546256663,1.1657472852693136,1.167034088843321,1.2086148793665958,1.3424869771754917,0.0,0,0.6941559910774231
597_43_2,0,2,1.5852452218150046,1.6118569732680932,1.6130069419447466,1.167034088843321,1.5866089366444396,1.6130069419447466,0.027761720129741985,0,0.6941559910774231
597_43_2,1,0,1.2803203168022899,1.1660342369118393,1.1723788402310389,1.167034088843321,1.1913384381455887,1.2803203168022899,0.11428607989045059,1,0.6941559910774231
598_12_2,0,1,1.5770689696745157,1.651422135076915,1.6046577789772951,1.167034088843321,1.6429036208019858,1.651422135076915,0.0,1,0.6507890224456787
598_12_2,1,0,1.2020254612567498,1.1681652426471871,1.1774217345518654,1.167034088843321,1.1873520341982355,1.2020254612567498,0.033860218609562676,1,0.6507890224456787
598_16_2,0,0,1.666560574941682,1.661038530099335,1.6408632329993595,1.167034088843321,1.5889667091799675,1.666560574941682,0.005522044842346974,1,0.6507890224456787
598_16_2,1,0,1.2384198339550094,1.1672694949800253,1.167744702030108,1.167034088843321,1.1497504953864102,1.2384198339550094,0.07115033897498413,1,0.6507890224456787
598_34_2,0,1,1.5703201276655288,1.6481094175107787,1.641624786910836,1.167034088843321,1.6336499514003313,1.6481094175107787,0.07778928984524991,0,0.6507890224456787
598_34_2,1,4,1.1996630821602703,1.166249981671279,1.1713939770621453,1.167034088843321,1.211754644786626,1.211754644786626,0.0120915626263558,0,0.6507890224456787
599_2_2,0,2,1.3460490608321394,1.636278687262359,1.6465807283318323,1.167034088843321,1.5824132016677352,1.6465807283318323,0.0,2,0.3336000144481659
599_2_2,1,4,1.1143808301946319,1.162974439073461,1.1667634793484367,1.167034088843321,1.1849777154796373,1.1849777154796373,0.018214236131200545,2,0.3336000144481659
599_7_2,0,4,1.5010879290229868,1.6456512441460678,1.6616567890973104,1.167034088843321,1.6666312054249255,1.6666312054249255,0.004974416327615083,2,0.3336000144481659
599_7_2,1,4,1.2309674127870927,1.1669151183051527,1.1687200060225,1.167034088843321,1.2397785939558588,1.2397785939558588,0.07105858793335873,2,0.3336000144481659
599_21_2,0,4,1.6717986194867713,1.6540216961875633,1.6404317753670419,1.167034088843321,1.714576518026485,1.714576518026485,0.06055482183892158,1,0.3336000144481659
599_21_2,1,0,1.3143127438928617,1.1690110433710281,1.1792353010093823,1.167034088843321,1.223895318491043,1.3143127438928617,0.14530170052183355,1,0.3336000144481659
599_30_2,0,0,1.663751049699824,1.6264751517560225,1.6608756407729033,1.167034088843321,1.633521781017306,1.663751049699824,0.037275897943801484,1,0.3336000144481659
