,,Grouped by vac_dropout,Grouped by vac_dropout,Grouped by vac_dropout,Grouped by vac_dropout,Grouped by vac_dropout,Grouped by vac_dropout
,,Missing,Overall,0,1,P-Value,Test
n,,,3194,2722,472,,
"v743a, n (%)",None,,162 (5.1),121 (4.4),41 (8.7),,
"v467b, n (%)",1,,322 (10.1),248 (9.1),74 (15.7),<0.001,Chi-squared
"v467b, n (%)",2,,2872 (89.9),2474 (90.9),398 (84.3),,
"v159, mean (SD)",,0,0.9 (0.9),0.9 (0.9),0.6 (0.9),<0.001,Welch’s T-test
"v158, mean (SD)",,0,0.8 (0.9),0.8 (0.9),0.7 (0.8),0.005,Welch’s T-test
"v157, mean (SD)",,0,0.2 (0.5),0.2 (0.5),0.1 (0.3),<0.001,Welch’s T-test
"media2, n (%)",0,,1143 (35.8),939 (34.5),204 (43.2),<0.001,Chi-squared
"media2, n (%)",1,,2051 (64.2),1783 (65.5),268 (56.8),,
"s1112s, n (%)",0.0,,1450 (45.4),1244 (45.7),206 (43.6),0.643,Chi-squared
"s1112s, n (%)",1.0,,661 (20.7),557 (20.5),104 (22.0),,
"s1112s, n (%)",None,,1083 (33.9),921 (33.8),162 (34.3),,
"s1112p, n (%)",0.0,,2111 (66.1),1801 (66.2),310 (65.7),0.077,Chi-squared
"s1112p, n (%)",1.0,,936 (29.3),805 (29.6),131 (27.8),,
"s1112p, n (%)",None,,147 (4.6),116 (4.3),31 (6.6),,
"wealth, n (%)",1,,532 (16.7),438 (16.1),94 (19.9),<0.001,Chi-squared
"wealth, n (%)",2,,502 (15.7),400 (14.7),102 (21.6),,
"wealth, n (%)",3,,619 (19.4),513 (18.8),106 (22.5),,
"wealth, n (%)",4,,772 (24.2),664 (24.4),108 (22.9),,
"wealth, n (%)",5,,769 (24.1),707 (26.0),62 (13.1),,
"v714, n (%)",0,,1064 (33.3),913 (33.5),151 (32.0),0.544,Chi-squared
"v714, n (%)",1,,2130 (66.7),1809 (66.5),321 (68.0),,
"v481, n (%)",0,,3071 (96.1),2609 (95.8),462 (97.9),0.047,Chi-squared
"v481, n (%)",1,,123 (3.9),113 (4.2),10 (2.1),,
"v136, mean (SD)",,0,6.4 (3.5),6.3 (3.5),6.6 (3.7),0.138,Welch’s T-test
"v151, n (%)",1,,2760 (86.4),2360 (86.7),400 (84.7),0.284,Chi-squared
"v151, n (%)",2,,434 (13.6),362 (13.3),72 (15.3),,
"v137, mean (SD)",,0,2.0 (1.1),2.0 (1.1),2.0 (1.2),0.726,Welch’s T-test
"rural, n (%)",0,,1564 (49.0),1333 (49.0),231 (48.9),1.000,Chi-squared
"rural, n (%)",1,,1630 (51.0),1389 (51.0),241 (51.1),,
"v483a, mean (SD)",,0,25.0 (27.6),24.3 (27.2),29.1 (29.4),<0.001,Welch’s T-test
"h1a, n (%)",0.0,,591 (18.5),415 (15.2),176 (37.3),<0.001,Chi-squared (warning: expected count < 5)
"h1a, n (%)",1.0,,2286 (71.6),2053 (75.4),233 (49.4),,
"h1a, n (%)",2.0,,221 (6.9),171 (6.3),50 (10.6),,
"h1a, n (%)",3.0,,18 (0.6),16 (0.6),2 (0.4),,
"h1a, n (%)",4.0,,5 (0.2),2 (0.1),3 (0.6),,
"h1a, n (%)",5.0,,7 (0.2),7 (0.3),0 (0.0),,
"h1a, n (%)",6.0,,1 (0.0),1 (0.0),0 (0.0),,
"h1a, n (%)",7.0,,51 (1.6),50 (1.8),1 (0.2),,
"h1a, n (%)",8.0,,14 (0.4),7 (0.3),7 (1.5),,
"antenat, mean (SD)",,146,6.6 (5.2),6.9 (5.3),4.9 (4.4),<0.001,Welch’s T-test
"facility_del, n (%)",0,,2112 (66.1),1764 (64.8),348 (73.7),<0.001,Chi-squared
"facility_del, n (%)",1,,1082 (33.9),958 (35.2),124 (26.3),,
"h34, n (%)",0.0,,1345 (42.1),1096 (40.3),249 (52.8),<0.001,Chi-squared (warning: expected count < 5)
"h34, n (%)",1.0,,1843 (57.7),1623 (59.6),220 (46.6),,
"h34, n (%)",8.0,,6 (0.2),3 (0.1),3 (0.6),,
"m70, n (%)",0.0,,2454 (76.8),2078 (76.3),376 (79.7),0.218,Chi-squared (warning: expected count < 5)
"m70, n (%)",1.0,,588 (18.4),507 (18.6),81 (17.2),,
"m70, n (%)",8.0,,6 (0.2),6 (0.2),0 (0.0),,
"m70, n (%)",None,,146 (4.6),131 (4.8),15 (3.2),,
"m74, n (%)",0.0,,347 (10.9),279 (10.2),68 (14.4),<0.001,Chi-squared (warning: expected count < 5)
"m74, n (%)",1.0,,1501 (47.0),1322 (48.6),179 (37.9),,
"m74, n (%)",8.0,,5 (0.2),4 (0.1),1 (0.2),,
